ph1sicia0-fee-freeze adoptio0-of-the-budget-resolutio0 el-salvador-aid Class
1 0 1 1
1 0 1 1
0 1 1 0
0 1 1 0
1 0 1 0
1 0 1 1
1 0 1 1
0 1 0 0
1 0 1 1
1 0 1 1
0 1 0 0
0 1 0 0
1 0 1 1
1 0 1 1
0 1 0 0
0 1 0 0
1 0 1 1
0 1 0 0
0 1 0 0
0 1 0 0
0 1 0 0
0 1 0 0
0 1 0 0
0 1 0 0
0 1 0 0
0 1 0 0
1 0 1 1
0 1 0 0
1 0 1 1
0 1 0 0
0 1 0 0
1 0 1 1
0 1 0 0
1 0 1 1
1 0 1 1
1 0 1 1
1 0 1 1
0 1 0 0
0 1 0 0
0 1 0 0
0 1 0 0
0 1 0 0
0 1 0 0
0 1 0 0
0 1 0 0
0 1 0 0
0 1 0 0
1 0 1 1
0 1 0 0
1 0 1 1
0 1 0 0
1 0 1 1
0 1 0 0
1 0 1 1
1 0 1 1
1 0 1 1
1 0 1 1
1 0 1 1
0 1 0 0
1 0 1 1
0 1 0 0
0 1 0 0
0 1 0 0
1 0 1 1
1 0 1 1
1 0 1 1
0 1 0 0
0 1 0 0
0 1 0 0
1 1 0 1
0 1 0 0
1 1 1 1
0 1 0 0
1 1 1 0
0 1 1 0
1 1 1 0
0 1 1 0
1 0 1 1
0 1 0 0
0 1 0 0
1 0 1 1
1 0 1 1
1 0 1 1
0 1 1 0
1 0 1 1
1 0 1 1
0 1 1 0
1 0 1 1
0 1 0 0
0 1 0 0
0 1 0 0
0 1 0 0
0 1 1 0
0 1 1 0
0 0 1 0
0 1 0 0
1 0 1 1
0 0 1 0
0 1 1 0
0 1 1 0
0 0 1 0
0 1 0 0
1 0 1 1
0 1 0 0
0 1 0 0
0 1 0 0
1 0 1 1
0 1 0 0
1 0 1 1
0 1 0 0
0 1 0 0
1 1 1 1
0 1 0 0
1 0 1 1
1 0 1 1
1 0 1 1
1 0 1 1
0 1 0 0
1 0 1 1
1 0 1 1
0 1 0 0
0 1 0 0
0 1 0 0
0 1 0 0
